"dx","mechmaj","mechmin","intent"
"E8000","Transport, other",NA,"Unintentional"
"E8001","Transport, other",NA,"Unintentional"
"E8002","Pedestrian, other",NA,"Unintentional"
"E8003","Pedal cyclist, other",NA,"Unintentional"
"E8008","Transport, other",NA,"Unintentional"
"E8009","Transport, other",NA,"Unintentional"
"E8010","Transport, other",NA,"Unintentional"
"E8011","Transport, other",NA,"Unintentional"
"E8012","Pedestrian, other",NA,"Unintentional"
"E8013","Pedal cyclist, other",NA,"Unintentional"
"E8018","Transport, other",NA,"Unintentional"
"E8019","Transport, other",NA,"Unintentional"
"E8020","Transport, other",NA,"Unintentional"
"E8021","Transport, other",NA,"Unintentional"
"E8022","Pedestrian, other",NA,"Unintentional"
"E8023","Pedal cyclist, other",NA,"Unintentional"
"E8028","Transport, other",NA,"Unintentional"
"E8029","Transport, other",NA,"Unintentional"
"E8030","Transport, other",NA,"Unintentional"
"E8031","Transport, other",NA,"Unintentional"
"E8032","Pedestrian, other",NA,"Unintentional"
"E8033","Pedal cyclist, other",NA,"Unintentional"
"E8038","Transport, other",NA,"Unintentional"
"E8039","Transport, other",NA,"Unintentional"
"E8040","Transport, other",NA,"Unintentional"
"E8041","Transport, other",NA,"Unintentional"
"E8042","Pedestrian, other",NA,"Unintentional"
"E8043","Pedal cyclist, other",NA,"Unintentional"
"E8048","Transport, other",NA,"Unintentional"
"E8049","Transport, other",NA,"Unintentional"
"E8050","Transport, other",NA,"Unintentional"
"E8051","Transport, other",NA,"Unintentional"
"E8052","Pedestrian, other",NA,"Unintentional"
"E8053","Pedal cyclist, other",NA,"Unintentional"
"E8058","Transport, other",NA,"Unintentional"
"E8059","Transport, other",NA,"Unintentional"
"E8060","Transport, other",NA,"Unintentional"
"E8061","Transport, other",NA,"Unintentional"
"E8062","Pedestrian, other",NA,"Unintentional"
"E8063","Pedal cyclist, other",NA,"Unintentional"
"E8068","Transport, other",NA,"Unintentional"
"E8069","Transport, other",NA,"Unintentional"
"E8070","Transport, other",NA,"Unintentional"
"E8071","Transport, other",NA,"Unintentional"
"E8072","Pedestrian, other",NA,"Unintentional"
"E8073","Pedal cyclist, other",NA,"Unintentional"
"E8078","Transport, other",NA,"Unintentional"
"E8079","Transport, other",NA,"Unintentional"
"E8100","Motor vehicle traffic","Occupant","Unintentional"
"E8101","Motor vehicle traffic","Occupant","Unintentional"
