"dx","mechmaj","mechmin","intent"
"U010",15,NA,2
"U011",9,NA,2
"U012",15,NA,2
"U013",3,NA,2
"U014",4,NA,2
"U015",15,NA,2
"U016",12,NA,2
"U017",12,NA,2
"U018",16,NA,2
"U019",17,NA,2
"U02",16,NA,2
"U030",15,NA,1
"U039",17,NA,1
"V01",8,NA,0
"V020",8,NA,0
"V021",6,3,0
"V029",6,3,0
"V030",8,NA,0
"V031",6,3,0
"V039",6,3,0
"V040",8,NA,0
"V041",6,3,0
"V049",6,3,0
"V05",8,NA,0
"V06",8,NA,0
"V090",8,NA,0
"V091",8,NA,0
"V092",6,3,0
"V093",8,NA,0
"V099",8,NA,0
"V10",7,NA,0
"V11",7,NA,0
"V120",7,NA,0
"V121",7,NA,0
"V122",7,NA,0
"V123",6,2,0
"V124",6,2,0
"V125",6,2,0
"V126",6,2,0
"V127",6,2,0
"V128",6,2,0
"V129",6,2,0
"V130",7,NA,0
"V131",7,NA,0
"V132",7,NA,0
"V133",6,2,0
"V134",6,2,0
"V135",6,2,0
"V136",6,2,0
"V137",6,2,0
"V138",6,2,0
"V139",6,2,0
"V140",7,NA,0
"V141",7,NA,0
"V142",7,NA,0
"V143",6,2,0
"V144",6,2,0
"V145",6,2,0
"V146",6,2,0
"V147",6,2,0
"V148",6,2,0
"V149",6,2,0
"V15",7,NA,0
"V16",7,NA,0
"V17",7,NA,0
"V18",7,NA,0
"V190",7,NA,0
"V191",7,NA,0
"V192",7,NA,0
"V193",7,NA,0
"V194",6,2,0
"V195",6,2,0
"V196",6,2,0
"V198",7,NA,0
"V199",7,NA,0
"V200",9,NA,0
"V201",9,NA,0
"V202",9,NA,0
"V203",6,1,0
"V204",6,1,0
"V205",6,1,0
"V206",6,1,0
"V207",6,1,0
"V208",6,1,0
"V209",6,1,0
"V210",9,NA,0
"V211",9,NA,0
"V212",9,NA,0
"V213",6,1,0
"V214",6,1,0
"V215",6,1,0
"V216",6,1,0
"V217",6,1,0
"V218",6,1,0
"V219",6,1,0
"V220",9,NA,0
