"dx","TQIP_severity","TQIP_issbr","NIS_severity","NIS_issbr","TQIP_only_severity","TQIP_only_issbr","NIS_only_severity","NIS_only_issbr","TQIP_effect","TQIP_intercept","NIS_effect","NIS_intercept"
"S000",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",-0.0198839912009325,-4.27367040846742,-0.0553422768266622,-3.90847840866382
"S001",1,"Face",1,"Face",1,"Face",1,"Face",0.110424773756166,-4.27367040846742,-0.13214491826754,-3.90847840866382
"S002",1,"Face",1,"Face",1,"Face",1,"Face",-0.13116838391726,-4.27367040846742,-0.543945277299213,-3.90847840866382
"S003",1,"Face",1,"Face",1,"Face",1,"Face",-0.0109402666358647,-4.27367040846742,-0.25862641243475,-3.90847840866382
"S004",1,"Face",2,"Face",1,"Face",2,"Face",0.0212599846538155,-4.27367040846742,-0.0360377065989487,-3.90847840866382
"S005",2,"Face",1,"Face",2,"Face",1,"Face",0.303483521889733,-4.27367040846742,-0.841665183589852,-3.90847840866382
"S008",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",0.0023062692834381,-4.27367040846742,-0.13889956278653,-3.90847840866382
"S009",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",0.206681062831866,-4.27367040846742,-0.139921437300158,-3.90847840866382
"S010",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",0.0410233001886018,-4.27367040846742,-0.07581817652558,-3.90847840866382
"S011",1,"Face",1,"Face",1,"Face",1,"Face",-0.245770630814208,-4.27367040846742,-0.33672166309626,-3.90847840866382
"S012",1,"Face",2,"Face",1,"Face",2,"Face",-0.149656933119859,-4.27367040846742,-0.0460208123098695,-3.90847840866382
"S013",1,"Face",1,"Face",1,"Face",1,"Face",-0.337181172754704,-4.27367040846742,-0.348294328822609,-3.90847840866382
"S014",1,"Face",1,"Face",1,"Face",1,"Face",-0.123741443530171,-4.27367040846742,-0.271753756293179,-3.90847840866382
"S015",1,"Face",1,"Face",1,"Face",1,"Face",-0.195917001534253,-4.27367040846742,-0.247085585318677,-3.90847840866382
"S018",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",0.0156109234881639,-4.27367040846742,0.0959101570617253,-3.90847840866382
"S019",4,"Head/Neck",4,"Head/Neck",4,"Head/Neck",4,"Head/Neck",0.881200051487558,-4.27367040846742,0.702189151600808,-3.90847840866382
"S020",2,"Head/Neck",3,"Head/Neck",2,"Head/Neck",3,"Head/Neck",0.33436923165965,-4.27367040846742,0.321001774098026,-3.90847840866382
"S021",2,"Face",3,"Face",2,"Face",3,"Face",0.235245095200216,-4.27367040846742,0.243354798813097,-3.90847840866382
"S022",1,"Face",1,"Face",1,"Face",1,"Face",-0.0846510371757155,-4.27367040846742,-0.122569801636892,-3.90847840866382
"S023",1,"Face",1,"Face",1,"Face",1,"Face",-0.178167957075196,-4.27367040846742,-0.318509030015022,-3.90847840866382
"S024",1,"Face",2,"Face",1,"Face",2,"Face",-0.110270452076057,-4.27367040846742,0.0792137413624599,-3.90847840866382
"S025",1,"Face",1,"Face",1,"Face",1,"Face",-0.195819561363245,-4.27367040846742,-0.574012130658539,-3.90847840866382
"S026",1,"Face",1,"Face",1,"Face",1,"Face",-0.110950477163105,-4.27367040846742,-0.409235082469318,-3.90847840866382
"S028",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",0.0176485775602861,-4.27367040846742,0.0599040123467783,-3.90847840866382
"S029",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",1.81252140387513,-4.27367040846742,1.15882622218614,-3.90847840866382
"S030",1,"Face",3,"Face",1,"Face",3,"Face",0.0190384390994718,-4.27367040846742,0.208063864037709,-3.90847840866382
"S031",1,"Face",1,"Face",1,"Face",1,"Face",-0.073813343416511,-4.27367040846742,-1.35176599289117,-3.90847840866382
"S032",1,"Face",1,"Face",1,"Face",1,"Face",-0.317356571082889,-4.27367040846742,-0.586195434948005,-3.90847840866382
"S034",1,"Face",1,"Face",1,"Face",1,"Face",-0.245138131104529,-4.27367040846742,-1.30967289765588,-3.90847840866382
"S038",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",0.032363832279758,-4.27367040846742,-1.3425930020202,-3.90847840866382
"S039",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",NA,NA,-1.12376790880291,-4.27367040846742,NA,NA
"S040",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.291010350316625,-4.27367040846742,-1.05510310890364,-3.90847840866382
"S041",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-1.21686517340037,-4.27367040846742,-2.81044197703834,-3.90847840866382
"S042",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-2.0822899970739,-4.27367040846742,-1.16164954295195,-3.90847840866382
"S043",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-1.45726877352776,-4.27367040846742,-1.6935371774987,-3.90847840866382
"S044",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-2.93215195645305,-4.27367040846742,-0.360541294392643,-3.90847840866382
"S045",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-1.5919282538974,-4.27367040846742,-0.164930270980581,-3.90847840866382
"S046",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.433250190582596,-4.27367040846742,-2.36085842840781,-3.90847840866382
"S047",4,"Head/Neck",5,"Head/Neck",4,"Head/Neck",5,"Head/Neck",1.16240033593974,-4.27367040846742,4.54496537371114,-3.90847840866382
"S048",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",0.04608510474985,-4.27367040846742,-3.19811189360537,-3.90847840866382
"S049",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.321441225113631,-4.27367040846742,-1.15525322263628,-3.90847840866382
"S050",1,"Face",1,"Face",1,"Face",1,"Face",-0.562778283245697,-4.27367040846742,-0.345111822445368,-3.90847840866382
"S051",1,"Face",2,"Face",1,"Face",2,"Face",0.0526671351550862,-4.27367040846742,0.0387134315392035,-3.90847840866382
"S052",1,"Face",1,"Face",1,"Face",1,"Face",-0.171945966443632,-4.27367040846742,-0.997594778587196,-3.90847840866382
"S053",1,"Face",2,"Face",1,"Face",2,"Face",-0.0866391072517607,-4.27367040846742,0.0269254446175931,-3.90847840866382
"S054",1,"Face",3,"Face",1,"Face",3,"Face",-0.184894232692968,-4.27367040846742,0.387402322919687,-3.90847840866382
"S055",1,"Face",1,"Face",1,"Face",1,"Face",-0.203356580884351,-4.27367040846742,-0.288822926822993,-3.90847840866382
"S056",1,"Face",2,"Face",1,"Face",2,"Face",0.0592495291214491,-4.27367040846742,0.101989568316913,-3.90847840866382
"S057",2,"Face",4,"Face",2,"Face",4,"Face",0.392485425225174,-4.27367040846742,0.737434025113202,-3.90847840866382
"S058",1,"Face",2,"Face",1,"Face",2,"Face",-0.122725029107659,-4.27367040846742,0.0434289637474783,-3.90847840866382
"S059",1,"Face",3,"Face",1,"Face",3,"Face",0.102846367282852,-4.27367040846742,0.352616360530804,-3.90847840866382
"S060",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.693329938205681,-4.27367040846742,-0.781118309044862,-3.90847840866382
"S061",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",1.55013628654109,-4.27367040846742,1.54483595139625,-3.90847840866382
"S062",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",1.28901146310945,-4.27367040846742,0.968202527302939,-3.90847840866382
"S063",4,"Head/Neck",5,"Head/Neck",4,"Head/Neck",5,"Head/Neck",0.820776209394077,-4.27367040846742,0.784468151925411,-3.90847840866382
"S064",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.421042025210719,-4.27367040846742,-0.282432455372359,-3.90847840866382
"S065",4,"Head/Neck",5,"Head/Neck",4,"Head/Neck",5,"Head/Neck",0.957957926524227,-4.27367040846742,1.03607358788825,-3.90847840866382
"S066",3,"Head/Neck",4,"Head/Neck",3,"Head/Neck",4,"Head/Neck",0.542679670858715,-4.27367040846742,0.724864741733555,-3.90847840866382
"S068",4,"Head/Neck",5,"Head/Neck",4,"Head/Neck",5,"Head/Neck",0.73992829419735,-4.27367040846742,1.27344231565944,-3.90847840866382
"S069",3,"Head/Neck",3,"Head/Neck",3,"Head/Neck",3,"Head/Neck",0.624291549458864,-4.27367040846742,0.182936285296334,-3.90847840866382
"S070",2,"Face",5,"Face",2,"Face",5,"Face",0.334306805764688,-4.27367040846742,1.66655425110559,-3.90847840866382
"S071",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",5,"Head/Neck",4.38423705239621,-4.27367040846742,1.21888033514109,-3.90847840866382
