"dx","TQIP_severity","TQIP_issbr","NIS_severity","NIS_issbr","TQIP_only_severity","TQIP_only_issbr","NIS_only_severity","NIS_only_issbr","TQIP_effect","TQIP_intercept","NIS_effect","NIS_intercept"
"S0000XA",2,"Head/Neck",3,"Head/Neck",2,"Head/Neck",3,"Head/Neck",0.215499139221419,-4.20266881449525,0.245711754664475,-3.86746598419918
"S0001XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",0.0547485064234831,-4.20266881449525,-0.0836704559999374,-3.86746598419918
"S0002XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.632625706574873,-4.20266881449525,-0.48344373696943,-3.86746598419918
"S0003CA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",NA,NA,-0.973528832838206,-4.20266881449525,NA,NA
"S0003XA",1,"Head/Neck",2,"Head/Neck",1,"Head/Neck",2,"Head/Neck",0.0334672138385691,-4.20266881449525,-0.0181428763851891,-3.86746598419918
"S0004XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",NA,NA,-1.19148439596618,-4.20266881449525,NA,NA
"S0005XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.922653291594036,-4.20266881449525,-0.573311082981012,-3.86746598419918
"S0006XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",-0.790490760093903,-4.20266881449525,-0.50043620988637,-3.86746598419918
"S0007XA",1,"Head/Neck",1,"Head/Neck",1,"Head/Neck",NA,NA,-0.515703597356281,-4.20266881449525,NA,NA
"S0010XA",1,"Face",1,"Face",1,"Face",1,"Face",0.127308180801234,-4.20266881449525,-0.0812671792108256,-3.86746598419918
"S0011XA",2,"Face",2,"Face",2,"Face",2,"Face",0.166322759567514,-4.20266881449525,-0.04856650782264,-3.86746598419918
"S0012XA",1,"Face",1,"Face",1,"Face",1,"Face",0.0968633052876894,-4.20266881449525,-0.0734880533376288,-3.86746598419918
"S00201A",1,"Face",1,"Face",1,"Face",1,"Face",-0.724297440412641,-4.20266881449525,-0.530952046898782,-3.86746598419918
"S00202A",2,"Face",1,"Face",2,"Face",1,"Face",0.17710397853199,-4.20266881449525,-0.420068639611807,-3.86746598419918
"S00209A",3,"Face",1,"Face",3,"Face",1,"Face",0.507442058834965,-4.20266881449525,-0.406642418533676,-3.86746598419918
"S00211A",1,"Face",1,"Face",1,"Face",1,"Face",-0.257221044895185,-4.20266881449525,-0.195745779807795,-3.86746598419918
"S00212A",1,"Face",1,"Face",1,"Face",1,"Face",-0.00251249301577624,-4.20266881449525,-0.355311972595703,-3.86746598419918
"S00219A",1,"Face",1,"Face",1,"Face",1,"Face",-0.35710060037659,-4.20266881449525,-0.488493630964013,-3.86746598419918
"S00222A",1,"Face",1,"Face",1,"Face",1,"Face",-0.891273102894278,-4.20266881449525,-0.558204837742172,-3.86746598419918
