"dx","severity","issbr"
80000,2,1
80001,2,1
80002,2,1
80003,2,1
80004,2,1
80005,2,1
80006,2,1
80009,2,1
80010,3,1
80011,3,1
80012,3,1
80013,3,1
80014,3,1
80015,3,1
80016,3,1
80019,3,1
80020,4,1
80021,2,1
80022,2,1
80023,3,1
80024,3,1
80025,3,1
80026,3,1
80029,4,1
80030,4,1
80031,4,1
80032,4,1
80033,4,1
80034,4,1
80035,4,1
80036,4,1
80039,4,1
80040,3,1
80041,3,1
80042,3,1
80043,3,1
80044,3,1
80045,3,1
80046,3,1
80049,3,1
80050,3,1
80051,3,1
80052,3,1
80053,3,1
80054,4,1
80055,4,1
80056,3,1
80059,4,1
80060,4,1
80061,3,1
80062,3,1
80063,4,1
80064,4,1
80065,4,1
80066,4,1
80069,4,1
80070,3,1
80071,3,1
80072,3,1
80073,3,1
80074,4,1
80075,4,1
80076,3,1
80079,3,1
80080,4,1
80081,4,1
80082,4,1
80083,4,1
80084,4,1
80085,4,1
80086,4,1
80089,4,1
80090,3,1
80091,3,1
80092,3,1
80093,3,1
80094,3,1
80095,5,1
80096,3,1
80099,3,1
80100,3,1
80101,3,1
80102,3,1
80103,3,1
80104,3,1
80105,3,1
80106,3,1
80109,2,1
80110,3,1
80111,3,1
80112,3,1
80113,3,1
80114,3,1
80115,3,1
80116,3,1
80119,3,1
80120,3,1
80121,3,1
80122,3,1
80123,3,1
80124,3,1
80125,3,1
80126,3,1
80129,3,1
80130,4,1
80131,4,1
80132,4,1
80133,4,1
80134,4,1
80135,4,1
80136,4,1
80139,4,1
80140,3,1
80141,3,1
80142,3,1
80143,3,1
80144,3,1
80145,3,1
80146,3,1
80149,3,1
80150,4,1
80151,3,1
80152,4,1
80153,4,1
80154,4,1
80155,4,1
80156,4,1
80159,4,1
80160,4,1
80161,4,1
80162,4,1
80163,4,1
80164,4,1
80165,4,1
80166,4,1
80169,4,1
80170,3,1
80171,3,1
80172,3,1
80173,4,1
80174,4,1
80175,4,1
80176,4,1
80179,4,1
80180,4,1
80181,4,1
80182,4,1
80183,4,1
80184,4,1
80185,4,1
80186,4,1
80189,4,1
80190,3,1
80191,3,1
80192,4,1
80193,3,1
80194,3,1
80195,5,1
80196,4,1
80199,3,1
8020,1,2
8021,2,2
80220,1,2
80221,2,2
80222,2,2
80223,1,2
80224,1,2
80225,1,2
80226,1,2
80227,1,2
80228,1,2
80229,2,2
80230,2,2
80231,2,2
80232,2,2
80233,2,2
80234,2,2
80235,2,2
80236,2,2
80237,2,2
80238,2,2
80239,2,2
8024,2,2
8025,2,2
8026,2,2
8027,3,2
8028,2,2
8029,3,2
80300,2,1
80301,2,1
80302,2,1
80303,2,1
80304,2,1
80305,2,1
80306,2,1
80309,2,1
80310,2,1
80311,2,1
80312,3,1
80313,4,1
80314,3,1
80315,3,1
80316,3,1
80319,3,1
80320,2,1
80321,3,1
80322,3,1
80323,4,1
80324,3,1
80325,3,1
80326,3,1
80329,2,1
80330,4,1
80331,4,1
80332,4,1
80333,4,1
80334,4,1
80335,4,1
80336,4,1
80339,4,1
80340,3,1
80341,2,1
80342,2,1
80343,2,1
80344,5,1
80345,3,1
80346,2,1
80349,3,1
80350,2,1
80351,2,1
80352,2,1
80353,2,1
80354,2,1
80355,2,1
80356,2,1
80359,2,1
80360,2,1
80361,2,1
80362,2,1
80363,2,1
80364,2,1
80365,5,1
80366,2,1
80369,2,1
80370,3,1
80371,4,1
80372,3,1
80373,4,1
80374,3,1
80375,4,1
80376,4,1
80379,4,1
80380,4,1
80381,4,1
80382,2,1
80383,3,1
80384,4,1
80385,5,1
80386,4,1
80389,3,1
80390,3,1
80391,3,1
80392,3,1
80393,2,1
80394,2,1
80395,5,1
80396,2,1
80399,2,1
80400,2,1
80401,2,1
80402,3,1
80403,4,1
80404,3,1
80405,3,1
80406,2,1
80409,2,1
80410,2,1
80411,2,1
80412,3,1
80413,3,1
80414,5,1
80415,5,1
80416,3,1
80419,4,1
80420,3,1
80421,3,1
80422,3,1
80423,4,1
