icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,dxrep,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S00.00XA,Head/Neck,0.21549913922141914,-4.202668814495247,693,2,Head/Neck,-0.0777829930470992,-3.8422926291197053,29,1,2,1,Head/Neck,Head/Neck
S00.01XA,Head/Neck,0.0547485064234831,-4.202668814495247,22233,1,Head/Neck,-0.07659091310873244,-3.8422926291197053,1247,1,1,1,Head/Neck,Head/Neck
S00.02XA,Head/Neck,-0.6326257065748733,-4.202668814495247,9,1,Head/Neck,-0.45362052582357676,-3.8422926291197053,3,1,1,1,Head/Neck,Head/Neck
S00.03CA,Head/Neck,-0.9735288328382059,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Head/Neck,Head/Neck
S00.03XA,Head/Neck,0.03346721383856912,-4.202668814495247,75391,1,Head/Neck,-0.03890572295287445,-3.8422926291197053,7203,2,1,2,Head/Neck,Head/Neck
S00.04XA,Head/Neck,-1.1914843959661834,-4.202668814495247,3,1,NA,NA,NA,NA,NA,1,1,Head/Neck,Head/Neck
S00.05XA,Head/Neck,-0.9226532915940361,-4.202668814495247,54,1,Head/Neck,-0.5852242223792318,-3.8422926291197053,9,1,1,1,Head/Neck,Head/Neck
S00.06XA,Head/Neck,-0.7904907600939031,-4.202668814495247,1,1,Head/Neck,-0.4545275153742899,-3.8422926291197053,9,1,1,1,Head/Neck,Head/Neck
S00.07XA,Head/Neck,-0.5157035973562811,-4.202668814495247,8,1,NA,NA,NA,NA,NA,1,1,Head/Neck,Head/Neck
S00.10XA,Face,0.1273081808012344,-4.202668814495247,3299,1,Face,-0.045608416857083764,-3.8422926291197053,121,2,1,2,Face,Face
S00.11XA,Face,0.16632275956751366,-4.202668814495247,14432,2,Face,-0.06027832363734503,-3.8422926291197053,1134,2,2,2,Face,Face
S00.12XA,Face,0.09686330528768944,-4.202668814495247,15126,1,Face,-0.07615730519015725,-3.8422926291197053,1186,1,1,1,Face,Face
S00.201A,Face,-0.724297440412641,-4.202668814495247,178,1,Face,-0.48200055222399474,-3.8422926291197053,18,1,1,1,Face,Face
S00.202A,Face,0.1771039785319896,-4.202668814495247,231,2,Face,-0.3832723554670151,-3.8422926291197053,7,1,2,1,Face,Face
S00.209A,Face,0.5074420588349645,-4.202668814495247,147,3,Face,-0.3895993844185878,-3.8422926291197053,2,1,3,1,Face,Face
S00.211A,Face,-0.2572210448951855,-4.202668814495247,2119,1,Face,-0.20515570021004662,-3.8422926291197053,297,1,1,1,Face,Face
S00.212A,Face,-0.0025124930157762373,-4.202668814495247,2239,1,Face,-0.3678798921175959,-3.8422926291197053,306,1,1,1,Face,Face
S00.219A,Face,-0.35710060037659047,-4.202668814495247,340,1,Face,-0.463735362273394,-3.8422926291197053,25,1,1,1,Face,Face
S00.222A,Face,-0.8912731028942777,-4.202668814495247,1,1,Face,-0.5259358886350725,-3.8422926291197053,1,1,1,1,Face,Face
S00.241A,Face,-0.6609593252288819,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.242A,Face,-0.5702789027151836,-4.202668814495247,2,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.251A,Face,-0.6932304927143071,-4.202668814495247,24,1,Face,-0.4540239292092501,-3.8422926291197053,8,1,1,1,Face,Face
S00.252A,Face,-0.24094139510299298,-4.202668814495247,15,1,Face,-0.5241295745001917,-3.8422926291197053,9,1,1,1,Face,Face
S00.259A,Face,-0.4573091609109462,-4.202668814495247,2,1,Face,-0.8072897042393098,-3.8422926291197053,1,1,1,1,Face,Face
S00.261A,NA,NA,NA,NA,NA,Face,-0.5176752778699093,-3.8422926291197053,10,1,1,1,Face,Face
S00.262A,NA,NA,NA,NA,NA,Face,-0.48937350851912365,-3.8422926291197053,16,1,1,1,Face,Face
S00.271A,Face,-0.6036067504895773,-4.202668814495247,3,1,Face,-0.5259358885225184,-3.8422926291197053,1,1,1,1,Face,Face
S00.272A,Face,-0.9108092947752839,-4.202668814495247,2,1,Face,-0.3608262748757795,-3.8422926291197053,2,1,1,1,Face,Face
S00.30XA,Face,0.015467577392704322,-4.202668814495247,85,1,Face,-0.5259358879314754,-3.8422926291197053,1,1,1,1,Face,Face
S00.31XA,Face,-0.015314233526384538,-4.202668814495247,8495,1,Face,-0.14669241472288758,-3.8422926291197053,907,1,1,1,Face,Face
S00.32XA,Face,-0.6709881918490297,-4.202668814495247,2,1,Face,-0.5202675569395304,-3.8422926291197053,2,1,1,1,Face,Face
S00.33XA,Face,0.05195973520899919,-4.202668814495247,2424,1,Face,-0.1690820516057454,-3.8422926291197053,292,1,1,1,Face,Face
S00.34XA,Face,-0.7201836426587874,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.35XA,Face,-0.48028595933906076,-4.202668814495247,5,1,Face,-0.4892408475810917,-3.8422926291197053,1,1,1,1,Face,Face
S00.36XA,NA,NA,NA,NA,NA,Face,-0.5259359013080096,-3.8422926291197053,1,1,1,1,Face,Face
S00.37XA,Face,-0.388925587096952,-4.202668814495247,5,1,Face,-0.14562072127380304,-3.8422926291197053,1,1,1,1,Face,Face
S00.401A,Face,-2.0721530611837595,-4.202668814495247,73,1,Face,-0.40174727448727915,-3.8422926291197053,1,1,1,1,Face,Face
S00.402A,Face,0.14936250036467213,-4.202668814495247,58,1,Face,-0.5077836241617709,-3.8422926291197053,3,1,1,1,Face,Face
S00.409A,Face,-0.6227146143758792,-4.202668814495247,34,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.411A,Face,-0.09011137567578513,-4.202668814495247,783,1,Face,-0.2799642138552754,-3.8422926291197053,90,1,1,1,Face,Face
S00.412A,Face,0.05861246129834296,-4.202668814495247,885,1,Face,-0.22661765535985157,-3.8422926291197053,83,1,1,1,Face,Face
S00.419A,Face,-0.12128686666723236,-4.202668814495247,57,1,Face,-0.538625740394378,-3.8422926291197053,6,1,1,1,Face,Face
S00.421A,Face,-0.2868216726589037,-4.202668814495247,3,1,Face,-0.5395818017684981,-3.8422926291197053,3,1,1,1,Face,Face
S00.422A,NA,NA,NA,NA,NA,Face,-0.5331109253512677,-3.8422926291197053,2,1,1,1,Face,Face
S00.429A,NA,NA,NA,NA,NA,Face,-0.525935906985768,-3.8422926291197053,1,1,1,1,Face,Face
S00.431A,Face,0.08992779030806518,-4.202668814495247,713,1,Face,0.5075610457530184,-3.8422926291197053,96,4,1,4,Face,Face
S00.432A,Face,0.17709845702478239,-4.202668814495247,854,2,Face,-0.21789653773964476,-3.8422926291197053,107,1,2,1,Face,Face
S00.439A,Face,-0.31203164990610005,-4.202668814495247,82,1,Face,-0.7532065242888755,-3.8422926291197053,10,1,1,1,Face,Face
S00.441A,Face,-0.7164380388686724,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.442A,Face,-0.9751713341942868,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.451A,Face,-0.8920785910009489,-4.202668814495247,5,1,Face,-0.4184885470100842,-3.8422926291197053,2,1,1,1,Face,Face
S00.452A,Face,-0.6830651403888792,-4.202668814495247,10,1,Face,-0.5259359752194084,-3.8422926291197053,1,1,1,1,Face,Face
S00.459A,Face,-0.9798843332971173,-4.202668814495247,2,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.461A,NA,NA,NA,NA,NA,Face,-0.45894533090854966,-3.8422926291197053,6,1,1,1,Face,Face
S00.462A,Face,-0.40724428052675443,-4.202668814495247,1,1,Face,-0.5259371498642813,-3.8422926291197053,2,1,1,1,Face,Face
S00.471A,Face,-0.23367527757972736,-4.202668814495247,1,1,Face,-0.5259359750919498,-3.8422926291197053,1,1,1,1,Face,Face
S00.472A,Face,-0.3767643480321721,-4.202668814495247,3,1,Face,-0.525935975093586,-3.8422926291197053,1,1,1,1,Face,Face
S00.501A,Face,-0.05222685190348946,-4.202668814495247,171,1,Face,-0.5195234054159811,-3.8422926291197053,5,1,1,1,Face,Face
S00.502A,Face,0.015542926664329002,-4.202668814495247,209,1,Face,-0.5682527546668628,-3.8422926291197053,9,1,1,1,Face,Face
S00.511A,Face,0.11018382943118173,-4.202668814495247,3430,1,Face,-0.35872266116443624,-3.8422926291197053,343,1,1,1,Face,Face
S00.512A,Face,0.24395123486725326,-4.202668814495247,340,2,Face,-0.2870853265141434,-3.8422926291197053,98,1,2,1,Face,Face
S00.521A,Face,-0.8162470824183389,-4.202668814495247,1,1,Face,-0.5291256162427552,-3.8422926291197053,12,1,1,1,Face,Face
S00.522A,Face,-0.5756094014950974,-4.202668814495247,3,1,Face,-0.501047629483214,-3.8422926291197053,23,1,1,1,Face,Face
S00.531A,Face,0.12701495119354067,-4.202668814495247,1891,1,Face,-0.22852034559977857,-3.8422926291197053,230,1,1,1,Face,Face
S00.532A,Face,0.7208555042521807,-4.202668814495247,629,3,Face,-0.598474129485682,-3.8422926291197053,150,1,3,1,Face,Face
S00.542A,Face,1.681542930083904,-4.202668814495247,2,5,NA,NA,NA,NA,NA,5,5,Face,Face
S00.551A,Face,2.656386056290328,-4.202668814495247,3,5,NA,NA,NA,NA,NA,5,5,Face,Face
S00.552A,Face,1.3886784475211424,-4.202668814495247,10,5,Face,-0.5259359931845788,-3.8422926291197053,1,1,5,1,Face,Face
S00.561A,NA,NA,NA,NA,NA,Face,-0.525938342742963,-3.8422926291197053,3,1,1,1,Face,Face
S00.562A,NA,NA,NA,NA,NA,Face,-0.5259359931911227,-3.8422926291197053,1,1,1,1,Face,Face
S00.571A,Face,-0.5882114166506472,-4.202668814495247,12,1,Face,-0.7147078941959651,-3.8422926291197053,7,1,1,1,Face,Face
S00.572A,Face,-0.8221335553065956,-4.202668814495247,17,1,Face,-0.521709077454136,-3.8422926291197053,28,1,1,1,Face,Face
S00.80XA,Head/Neck,0.3057573592694281,-4.202668814495247,196,2,Head/Neck,-0.599845119216677,-3.8422926291197053,32,1,2,1,Head/Neck,Head/Neck
S00.81XA,Head/Neck,-0.03896083673621044,-4.202668814495247,54181,1,Head/Neck,-0.17940520931150714,-3.8422926291197053,5627,1,1,1,Head/Neck,Head/Neck
S00.82XA,Head/Neck,1.3305966013778208,-4.202668814495247,12,5,Head/Neck,-0.5709897161731611,-3.8422926291197053,5,1,5,1,Head/Neck,Head/Neck
S00.832A,Head/Neck,-0.4396418870861486,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Head/Neck,Head/Neck
S00.83XA,Head/Neck,0.05411311037143095,-4.202668814495247,42191,1,Head/Neck,-0.03562883011128148,-3.8422926291197053,7007,2,1,2,Head/Neck,Head/Neck
S00.84XA,Head/Neck,-0.9545872301734802,-4.202668814495247,11,1,Head/Neck,-0.5259361269548982,-3.8422926291197053,1,1,1,1,Head/Neck,Head/Neck
S00.85XA,Head/Neck,-0.35280373037940205,-4.202668814495247,37,1,Head/Neck,-0.4883703386718158,-3.8422926291197053,7,1,1,1,Head/Neck,Head/Neck
S00.86XA,Head/Neck,-1.0730354419673405,-4.202668814495247,3,1,Head/Neck,-0.5427180831840464,-3.8422926291197053,73,1,1,1,Head/Neck,Head/Neck
S00.87XA,Head/Neck,1.4437772244491212,-4.202668814495247,16,5,Head/Neck,-0.4330901869422018,-3.8422926291197053,12,1,5,1,Head/Neck,Head/Neck
S00.90XA,Head/Neck,0.31325443058907476,-4.202668814495247,109,2,Head/Neck,0.19736172589161863,-3.8422926291197053,35,3,2,3,Head/Neck,Head/Neck
