icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S00.00XA,Head/Neck,0.215499139,-4.202668814,693,2,Head/Neck,0.245711755,-3.867465984,29,3,2,3,Head/Neck,Head/Neck
S00.01XA,Head/Neck,0.054748506,-4.202668814,22233,1,Head/Neck,-0.083670456,-3.867465984,1247,1,1,1,Head/Neck,Head/Neck
S00.02XA,Head/Neck,-0.632625707,-4.202668814,9,1,Head/Neck,-0.483443737,-3.867465984,3,1,1,1,Head/Neck,Head/Neck
S00.03CA,Head/Neck,-0.973528833,-4.202668814,1,1,NA,NA,NA,NA,NA,1,1,Head/Neck,Head/Neck
S00.03XA,Head/Neck,0.033467214,-4.202668814,75391,1,Head/Neck,-0.018142876,-3.867465984,7216,2,1,2,Head/Neck,Head/Neck
S00.04XA,Head/Neck,-1.191484396,-4.202668814,3,1,NA,NA,NA,NA,NA,1,1,Head/Neck,Head/Neck
S00.05XA,Head/Neck,-0.922653292,-4.202668814,54,1,Head/Neck,-0.573311083,-3.867465984,9,1,1,1,Head/Neck,Head/Neck
S00.06XA,Head/Neck,-0.79049076,-4.202668814,1,1,Head/Neck,-0.50043621,-3.867465984,9,1,1,1,Head/Neck,Head/Neck
S00.07XA,Head/Neck,-0.515703597,-4.202668814,8,1,NA,NA,NA,NA,NA,1,1,Head/Neck,Head/Neck
S00.10XA,Face,0.127308181,-4.202668814,3299,1,Face,-0.081267179,-3.867465984,121,1,1,1,Face,Face
S00.11XA,Face,0.16632276,-4.202668814,14432,2,Face,-0.048566508,-3.867465984,1134,2,2,2,Face,Face
S00.12XA,Face,0.096863305,-4.202668814,15126,1,Face,-0.073488053,-3.867465984,1187,1,1,1,Face,Face
S00.201A,Face,-0.72429744,-4.202668814,178,1,Face,-0.530952047,-3.867465984,18,1,1,1,Face,Face
S00.202A,Face,0.177103979,-4.202668814,231,2,Face,-0.42006864,-3.867465984,7,1,2,1,Face,Face
S00.209A,Face,0.507442059,-4.202668814,147,3,Face,-0.406642419,-3.867465984,2,1,3,1,Face,Face
S00.211A,Face,-0.257221045,-4.202668814,2119,1,Face,-0.19574578,-3.867465984,297,1,1,1,Face,Face
S00.212A,Face,-0.002512493,-4.202668814,2239,1,Face,-0.355311973,-3.867465984,306,1,1,1,Face,Face
S00.219A,Face,-0.3571006,-4.202668814,340,1,Face,-0.488493631,-3.867465984,25,1,1,1,Face,Face
S00.222A,Face,-0.891273103,-4.202668814,1,1,Face,-0.558204838,-3.867465984,1,1,1,1,Face,Face
S00.241A,Face,-0.660959325,-4.202668814,1,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.242A,Face,-0.570278903,-4.202668814,2,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.251A,Face,-0.693230493,-4.202668814,24,1,Face,-0.491146712,-3.867465984,8,1,1,1,Face,Face
S00.252A,Face,-0.240941395,-4.202668814,15,1,Face,-0.567171556,-3.867465984,9,1,1,1,Face,Face
S00.259A,Face,-0.457309161,-4.202668814,2,1,Face,-0.864934361,-3.867465984,1,1,1,1,Face,Face
S00.261A,NA,NA,NA,NA,NA,Face,-0.54748314,-3.867465984,10,1,1,1,Face,Face
S00.262A,NA,NA,NA,NA,NA,Face,-0.512305118,-3.867465984,16,1,1,1,Face,Face
S00.271A,Face,-0.60360675,-4.202668814,3,1,Face,-0.558204837,-3.867465984,1,1,1,1,Face,Face
S00.272A,Face,-0.910809295,-4.202668814,2,1,Face,-0.286232149,-3.867465984,2,1,1,1,Face,Face
S00.30XA,Face,0.015467577,-4.202668814,85,1,Face,-0.558204836,-3.867465984,1,1,1,1,Face,Face
S00.31XA,Face,-0.015314234,-4.202668814,8495,1,Face,-0.134115384,-3.867465984,907,1,1,1,Face,Face
S00.32XA,Face,-0.670988192,-4.202668814,2,1,Face,-0.558205981,-3.867465984,2,1,1,1,Face,Face
S00.33XA,Face,0.051959735,-4.202668814,2424,1,Face,-0.184505522,-3.867465984,292,1,1,1,Face,Face
S00.34XA,Face,-0.720183643,-4.202668814,1,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.35XA,Face,-0.480285959,-4.202668814,5,1,Face,-0.50365001,-3.867465984,1,1,1,1,Face,Face
S00.36XA,NA,NA,NA,NA,NA,Face,-0.558204871,-3.867465984,1,1,1,1,Face,Face
S00.37XA,Face,-0.388925587,-4.202668814,5,1,Face,-0.209204261,-3.867465984,1,1,1,1,Face,Face
S00.401A,Face,-2.072153061,-4.202668814,73,1,Face,-0.413120981,-3.867465984,1,1,1,1,Face,Face
S00.402A,Face,0.1493625,-4.202668814,58,1,Face,-0.558207108,-3.867465984,3,1,1,1,Face,Face
S00.409A,Face,-0.622714614,-4.202668814,34,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.411A,Face,-0.090111376,-4.202668814,783,1,Face,-0.317522598,-3.867465984,90,1,1,1,Face,Face
S00.412A,Face,0.058612461,-4.202668814,885,1,Face,-0.242675887,-3.867465984,83,1,1,1,Face,Face
S00.419A,Face,-0.121286867,-4.202668814,57,1,Face,-0.526515163,-3.867465984,6,1,1,1,Face,Face
S00.421A,Face,-0.286821673,-4.202668814,3,1,Face,-0.507806993,-3.867465984,3,1,1,1,Face,Face
S00.422A,NA,NA,NA,NA,NA,Face,-0.56514236,-3.867465984,2,1,1,1,Face,Face
S00.429A,NA,NA,NA,NA,NA,Face,-0.558204875,-3.867465984,1,1,1,1,Face,Face
S00.431A,Face,0.08992779,-4.202668814,713,1,Face,0.522053078,-3.867465984,96,4,1,4,Face,Face
S00.432A,Face,0.177098457,-4.202668814,854,2,Face,-0.133582213,-3.867465984,107,1,2,1,Face,Face
S00.439A,Face,-0.31203165,-4.202668814,82,1,Face,-0.80857895,-3.867465984,10,1,1,1,Face,Face
S00.441A,Face,-0.716438039,-4.202668814,1,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.442A,Face,-0.975171334,-4.202668814,1,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.451A,Face,-0.892078591,-4.202668814,5,1,Face,-0.427093484,-3.867465984,2,1,1,1,Face,Face
S00.452A,Face,-0.68306514,-4.202668814,10,1,Face,-0.5582049,-3.867465984,1,1,1,1,Face,Face
S00.459A,Face,-0.979884333,-4.202668814,2,1,NA,NA,NA,NA,NA,1,1,Face,Face
S00.461A,NA,NA,NA,NA,NA,Face,-0.48591624,-3.867465984,6,1,1,1,Face,Face
S00.462A,Face,-0.407244281,-4.202668814,1,1,Face,-0.558206018,-3.867465984,2,1,1,1,Face,Face
S00.471A,Face,-0.233675278,-4.202668814,1,1,Face,-0.558204899,-3.867465984,1,1,1,1,Face,Face
S00.472A,Face,-0.376764348,-4.202668814,3,1,Face,-0.558204899,-3.867465984,1,1,1,1,Face,Face
S00.501A,Face,-0.052226852,-4.202668814,171,1,Face,-0.551424684,-3.867465984,5,1,1,1,Face,Face
S00.502A,Face,0.015542927,-4.202668814,209,1,Face,-0.555131611,-3.867465984,9,1,1,1,Face,Face
S00.511A,Face,0.110183829,-4.202668814,3430,1,Face,-0.426496546,-3.867465984,343,1,1,1,Face,Face
S00.512A,Face,0.243951235,-4.202668814,340,2,Face,-0.271492538,-3.867465984,98,1,2,1,Face,Face
S00.521A,Face,-0.816247082,-4.202668814,1,1,Face,-0.607163961,-3.867465984,12,1,1,1,Face,Face
S00.522A,Face,-0.575609401,-4.202668814,3,1,Face,-0.537411276,-3.867465984,23,1,1,1,Face,Face
S00.531A,Face,0.127014951,-4.202668814,1891,1,Face,-0.239346054,-3.867465984,230,1,1,1,Face,Face
S00.532A,Face,0.720855504,-4.202668814,629,3,Face,-0.60309777,-3.867465984,150,1,3,1,Face,Face
S00.542A,Face,1.68154293,-4.202668814,2,5,NA,NA,NA,NA,NA,5,5,Face,Face
S00.551A,Face,2.656386056,-4.202668814,3,5,NA,NA,NA,NA,NA,5,5,Face,Face
S00.552A,Face,1.388678448,-4.202668814,10,5,Face,-0.558204905,-3.867465984,1,1,5,1,Face,Face
S00.561A,NA,NA,NA,NA,NA,Face,-0.558207142,-3.867465984,3,1,1,1,Face,Face
S00.562A,NA,NA,NA,NA,NA,Face,-0.558204905,-3.867465984,1,1,1,1,Face,Face
S00.571A,Face,-0.588211417,-4.202668814,12,1,Face,-0.823619702,-3.867465984,7,1,1,1,Face,Face
S00.572A,Face,-0.822133555,-4.202668814,17,1,Face,-0.543510965,-3.867465984,28,1,1,1,Face,Face
S00.80XA,Head/Neck,0.305757359,-4.202668814,196,2,Head/Neck,-0.666685101,-3.867465984,32,1,2,1,Head/Neck,Head/Neck
