"dx","mechmaj","mechmin","intent"
"E8000",9,NA,0
"E8001",9,NA,0
"E8002",8,NA,0
"E8003",7,NA,0
"E8008",9,NA,0
"E8009",9,NA,0
"E8010",9,NA,0
"E8011",9,NA,0
"E8012",8,NA,0
"E8013",7,NA,0
"E8018",9,NA,0
"E8019",9,NA,0
"E8020",9,NA,0
"E8021",9,NA,0
"E8022",8,NA,0
"E8023",7,NA,0
"E8028",9,NA,0
"E8029",9,NA,0
"E8030",9,NA,0
"E8031",9,NA,0
"E8032",8,NA,0
"E8033",7,NA,0
"E8038",9,NA,0
"E8039",9,NA,0
"E8040",9,NA,0
"E8041",9,NA,0
"E8042",8,NA,0
"E8043",7,NA,0
"E8048",9,NA,0
"E8049",9,NA,0
"E8050",9,NA,0
"E8051",9,NA,0
"E8052",8,NA,0
"E8053",7,NA,0
"E8058",9,NA,0
"E8059",9,NA,0
"E8060",9,NA,0
"E8061",9,NA,0
"E8062",8,NA,0
"E8063",7,NA,0
"E8068",9,NA,0
"E8069",9,NA,0
"E8070",9,NA,0
"E8071",9,NA,0
"E8072",8,NA,0
"E8073",7,NA,0
"E8078",9,NA,0
"E8079",9,NA,0
"E8100",6,0,0
"E8101",6,0,0
"E8102",6,1,0
"E8103",6,1,0
"E8104",6,NA,0
"E8105",6,NA,0
"E8106",6,2,0
"E8107",6,3,0
"E8108",6,NA,0
"E8109",6,4,0
"E8110",6,0,0
"E8111",6,0,0
"E8112",6,1,0
"E8113",6,1,0
"E8114",6,NA,0
"E8115",6,NA,0
"E8116",6,2,0
"E8117",6,3,0
"E8118",6,NA,0
"E8119",6,4,0
"E8120",6,0,0
"E8121",6,0,0
"E8122",6,1,0
"E8123",6,1,0
"E8124",6,NA,0
"E8125",6,NA,0
"E8126",6,2,0
"E8127",6,3,0
"E8128",6,NA,0
"E8129",6,4,0
"E8130",6,0,0
"E8131",6,0,0
"E8132",6,1,0
"E8133",6,1,0
"E8134",6,NA,0
"E8135",6,NA,0
"E8136",6,2,0
"E8137",6,3,0
"E8138",6,NA,0
"E8139",6,4,0
"E8140",6,0,0
"E8141",6,0,0
"E8142",6,1,0
"E8143",6,1,0
"E8144",6,NA,0
"E8145",6,NA,0
"E8146",6,2,0
"E8147",6,3,0
"E8148",6,NA,0
"E8149",6,4,0
"E8150",6,0,0
"E8151",6,0,0
"E8152",6,1,0
"E8153",6,1,0
"E8154",6,NA,0
"E8155",6,NA,0
"E8156",6,2,0
"E8157",6,3,0
"E8158",6,NA,0
"E8159",6,4,0
"E8160",6,0,0
"E8161",6,0,0
"E8162",6,1,0
"E8163",6,1,0
"E8164",6,NA,0
"E8165",6,NA,0
"E8166",6,2,0
"E8167",6,3,0
"E8168",6,NA,0
"E8169",6,4,0
"E8170",6,0,0
"E8171",6,0,0
"E8172",6,1,0
"E8173",6,1,0
"E8174",6,NA,0
"E8175",6,NA,0
"E8176",6,2,0
"E8177",6,3,0
"E8178",6,NA,0
"E8179",6,4,0
"E8180",6,0,0
"E8181",6,0,0
"E8182",6,1,0
"E8183",6,1,0
"E8184",6,NA,0
"E8185",6,NA,0
"E8186",6,2,0
"E8187",6,3,0
"E8188",6,NA,0
"E8189",6,4,0
"E8190",6,0,0
"E8191",6,0,0
"E8192",6,1,0
"E8193",6,1,0
"E8194",6,NA,0
"E8195",6,NA,0
"E8196",6,2,0
"E8197",6,3,0
"E8198",6,NA,0
"E8199",6,4,0
"E8200",9,NA,0
