"dx","barell","severity","issbr","apc"
"80000","02A",2,1,"D"
"80001","03A",2,1,"D"
"80002","02A",2,1,"D"
"80003","01A",2,1,"D"
"80004","01A",2,1,"D"
"80005","01A",2,1,"D"
"80006","02A",2,1,"D"
"80009","02A",2,1,"D"
"80010","01A",3,1,"A"
"80011","01A",3,1,"A"
"80012","01A",3,1,"A"
"80013","01A",3,1,"A"
"80014","01A",3,1,"A"
"80015","01A",3,1,"A"
"80016","01A",3,1,"A"
"80019","01A",3,1,"A"
"80020","01A",4,1,"A"
"80021","01A",2,1,"D"
"80022","01A",2,1,"D"
"80023","01A",3,1,"A"
"80024","01A",3,1,"A"
"80025","01A",3,1,"A"
"80026","01A",3,1,"A"
"80029","01A",4,1,"A"
"80030","01A",4,1,"A"
"80031","01A",4,1,"A"
"80032","01A",4,1,"A"
"80033","01A",4,1,"A"
"80034","01A",4,1,"A"
"80035","01A",4,1,"A"
"80036","01A",4,1,"A"
"80039","01A",4,1,"A"
"80040","01A",3,1,"A"
"80041","01A",3,1,"A"
"80042","01A",3,1,"A"
"80043","01A",3,1,"A"
"80044","01A",3,1,"A"
"80045","01A",3,1,"A"
"80046","01A",3,1,"A"
"80049","01A",3,1,"A"
"80050","02A",3,1,"A"
"80051","03A",3,1,"A"
"80052","02A",3,1,"A"
"80053","01A",3,1,"A"
"80054","01A",4,1,"A"
"80055","01A",4,1,"A"
"80056","02A",3,1,"A"
"80059","02A",4,1,"A"
"80060","01A",4,1,"A"
"80061","01A",3,1,"A"
"80062","01A",3,1,"A"
"80063","01A",4,1,"A"
"80064","01A",4,1,"A"
"80065","01A",4,1,"A"
"80066","01A",4,1,"A"
"80069","01A",4,1,"A"
"80070","01A",3,1,"A"
"80071","01A",3,1,"A"
"80072","01A",3,1,"A"
"80073","01A",3,1,"A"
"80074","01A",4,1,"A"
"80075","01A",4,1,"A"
"80076","01A",3,1,"A"
"80079","01A",3,1,"A"
"80080","01A",4,1,"A"
"80081","01A",4,1,"A"
"80082","01A",4,1,"A"
"80083","01A",4,1,"A"
"80084","01A",4,1,"A"
"80085","01A",4,1,"A"
"80086","01A",4,1,"A"
"80089","01A",4,1,"A"
"80090","01A",3,1,"A"
"80091","01A",3,1,"A"
"80092","01A",3,1,"A"
"80093","01A",3,1,"A"
"80094","01A",3,1,"A"
"80095","01A",5,1,"A"
"80096","01A",3,1,"A"
"80099","01A",3,1,"A"
"80100","02A",3,1,"A"
"80101","03A",3,1,"A"
"80102","02A",3,1,"A"
"80103","01A",3,1,"A"
"80104","01A",3,1,"A"
"80105","01A",3,1,"A"
"80106","02A",3,1,"A"
"80109","02A",2,1,"D"
"80110","01A",3,1,"A"
"80111","01A",3,1,"A"
"80112","01A",3,1,"A"
"80113","01A",3,1,"A"
"80114","01A",3,1,"A"
"80115","01A",3,1,"A"
"80116","01A",3,1,"A"
"80119","01A",3,1,"A"
"80120","01A",3,1,"A"
"80121","01A",3,1,"A"
"80122","01A",3,1,"A"
"80123","01A",3,1,"A"
"80124","01A",3,1,"A"
"80125","01A",3,1,"A"
"80126","01A",3,1,"A"
"80129","01A",3,1,"A"
"80130","01A",4,1,"A"
"80131","01A",4,1,"A"
"80132","01A",4,1,"A"
"80133","01A",4,1,"A"
"80134","01A",4,1,"A"
"80135","01A",4,1,"A"
"80136","01A",4,1,"A"
"80139","01A",4,1,"A"
"80140","01A",3,1,"A"
"80141","01A",3,1,"A"
"80142","01A",3,1,"A"
"80143","01A",3,1,"A"
"80144","01A",3,1,"A"
"80145","01A",3,1,"A"
"80146","01A",3,1,"A"
"80149","01A",3,1,"A"
"80150","02A",4,1,"A"
"80151","03A",3,1,"A"
"80152","02A",4,1,"A"
"80153","01A",4,1,"A"
"80154","01A",4,1,"A"
"80155","01A",4,1,"A"
"80156","02A",4,1,"A"
"80159","02A",4,1,"A"
"80160","01A",4,1,"A"
"80161","01A",4,1,"A"
"80162","01A",4,1,"A"
"80163","01A",4,1,"A"
"80164","01A",4,1,"A"
"80165","01A",4,1,"A"
"80166","01A",4,1,"A"
"80169","01A",4,1,"A"
"80170","01A",3,1,"A"
"80171","01A",3,1,"A"
"80172","01A",3,1,"A"
"80173","01A",4,1,"A"
"80174","01A",4,1,"A"
"80175","01A",4,1,"A"
"80176","01A",4,1,"A"
"80179","01A",4,1,"A"
"80180","01A",4,1,"A"
"80181","01A",4,1,"A"
"80182","01A",4,1,"A"
"80183","01A",4,1,"A"
"80184","01A",4,1,"A"
"80185","01A",4,1,"A"
"80186","01A",4,1,"A"
"80189","01A",4,1,"A"
"80190","01A",3,1,"A"
"80191","01A",3,1,"A"
"80192","01A",4,1,"A"
"80193","01A",3,1,"A"
"80194","01A",3,1,"A"
"80195","01A",5,1,"A"
"80196","01A",4,1,"A"
"80199","01A",3,1,"A"
"8020","05A",1,2,"D"
"8021","05A",2,2,"D"
"80220","05A",1,2,"D"
"80221","05A",2,2,"D"
"80222","05A",2,2,"D"
"80223","05A",1,2,"D"
"80224","05A",1,2,"D"
"80225","05A",1,2,"D"
"80226","05A",1,2,"D"
"80227","05A",1,2,"D"
"80228","05A",1,2,"D"
"80229","05A",2,2,"D"
"80230","05A",2,2,"D"
"80231","05A",2,2,"D"
"80232","05A",2,2,"D"
"80233","05A",2,2,"D"
"80234","05A",2,2,"D"
"80235","05A",2,2,"D"
"80236","05A",2,2,"D"
"80237","05A",2,2,"D"
"80238","05A",2,2,"D"
"80239","05A",2,2,"D"
"8024","05A",2,2,"D"
"8025","05A",2,2,"D"
"8026","05A",2,2,"D"
"8027","05A",3,2,"C"
"8028","05A",2,2,"D"
"8029","05A",3,2,"C"
"80300","02A",2,1,"D"
"80301","03A",2,1,"D"
"80302","02A",2,1,"D"
"80303","01A",2,1,"D"
"80304","01A",2,1,"D"
