i10,severity,issbr
M9910,2,1.0
M9911,2,1.0
M9912,2,3.0
M9913,2,4.0
M9914,3,5.0
M9915,3,3.0
M9916,3,5.0
M9917,3,5.0
M9918,2,3.0
M9919,3,5.0
S0000XA,1,6.0
S0001XA,1,6.0
S0002XA,1,6.0
S0003XA,1,6.0
S0004XA,1,6.0
S0005XA,1,6.0
S0006XA,1,6.0
S0007XA,1,6.0
S0010XA,1,1.0
S0011XA,1,1.0
S0012XA,1,1.0
S00201A,1,6.0
S00202A,1,6.0
S00209A,1,6.0
S00211A,1,6.0
S00212A,1,6.0
S00219A,1,6.0
S00221A,1,6.0
S00222A,1,6.0
S00229A,1,6.0
S00241A,1,6.0
S00242A,1,6.0
S00249A,1,6.0
S00251A,1,6.0
S00252A,1,6.0
S00259A,1,6.0
S00261A,1,6.0
S00262A,1,6.0
S00269A,1,6.0
S00271A,1,6.0
S00272A,1,6.0
S00279A,1,6.0
S0030XA,1,6.0
S0031XA,1,6.0
S0032XA,1,6.0
S0033XA,1,6.0
S0034XA,1,6.0
S0035XA,1,6.0
S0036XA,1,6.0
S0037XA,1,6.0
S00401A,1,6.0
S00402A,1,6.0
S00409A,1,6.0
S00411A,1,6.0
S00412A,1,6.0
S00419A,1,6.0
S00421A,1,6.0
S00422A,1,6.0
S00429A,1,6.0
S00431A,1,6.0
S00432A,1,6.0
S00439A,1,6.0
S00441A,1,6.0
S00442A,1,6.0
S00449A,1,6.0
S00451A,1,6.0
S00452A,1,6.0
S00459A,1,6.0
S00461A,1,6.0
S00462A,1,6.0
S00469A,1,6.0
S00471A,1,6.0
S00472A,1,6.0
S00479A,1,6.0
S00501A,1,6.0
S00502A,1,6.0
S00511A,1,6.0
S00512A,1,6.0
S00521A,1,6.0
S00522A,1,6.0
S00531A,1,6.0
S00532A,1,6.0
S00541A,1,6.0
S00542A,1,6.0
S00551A,1,6.0
S00552A,1,6.0
S00561A,1,6.0
S00562A,1,6.0
S00571A,1,6.0
S00572A,1,6.0
S0080XA,1,6.0
S0081XA,1,6.0
S0082XA,1,6.0
S0083XA,1,6.0
S0084XA,1,6.0
S0085XA,1,6.0
S0086XA,1,6.0
S0087XA,1,6.0
S0090XA,1,6.0
S0091XA,1,6.0
S0092XA,1,6.0
S0093XA,1,6.0
S0094XA,1,6.0
S0095XA,1,6.0
S0096XA,1,6.0
S0097XA,1,6.0
S0100XA,1,6.0
S0101XA,1,6.0
S0102XA,2,6.0
S0103XA,1,6.0
S0104XA,2,6.0
S0105XA,1,6.0
S01101A,1,2.0
S01102A,1,2.0
S01109A,1,2.0
S01111A,1,6.0
S01112A,1,6.0
S01119A,1,6.0
S01121A,1,6.0
S01122A,1,6.0
S01129A,1,6.0
S01131A,1,6.0
S01132A,1,6.0
S01139A,1,6.0
S01141A,1,6.0
S01142A,1,6.0
S01149A,1,6.0
S01151A,1,6.0
S01152A,1,6.0
S01159A,1,6.0
S0120XA,1,6.0
S0121XA,1,6.0
S0122XA,1,6.0
S0123XA,1,6.0
S0124XA,1,6.0
S0125XA,1,6.0
S01301A,1,2.0
S01302A,1,2.0
S01309A,1,2.0
S01311A,1,2.0
S01312A,1,2.0
S01319A,1,2.0
S01321A,1,6.0
S01322A,1,6.0
S01329A,1,6.0
S01331A,1,2.0
S01332A,1,2.0
S01339A,1,2.0
S01341A,1,6.0
S01342A,1,6.0
S01349A,1,6.0
S01351A,1,2.0
S01352A,1,2.0
S01359A,1,2.0
S01401A,1,6.0
S01402A,1,6.0
S01409A,1,6.0
S01411A,1,6.0
S01412A,1,6.0
S01419A,1,6.0
S01421A,1,6.0
S01422A,1,6.0
S01429A,1,6.0
S01431A,1,6.0
S01432A,1,6.0
S01439A,1,6.0
S01441A,1,6.0
S01442A,1,6.0
S01449A,1,6.0
S01451A,1,6.0
S01452A,1,6.0
S01459A,1,6.0
S01501A,1,6.0
S01502A,1,2.0
S01511A,1,6.0
S01512A,1,2.0
S01521A,1,6.0
S01522A,1,2.0
S01531A,1,6.0
S01532A,1,2.0
S01541A,1,6.0
S01542A,1,2.0
S01542A,2,2.0
S01551A,1,6.0
S01552A,1,2.0
S0180XA,1,6.0
S0181XA,1,6.0
S0182XA,1,6.0
S0182XA,2,6.0
S0183XA,1,6.0
S0184XA,1,6.0
S0184XA,2,6.0
S0185XA,1,6.0
S0190XA,1,6.0
S0190XA,5,6.0
S0191XA,1,6.0
S0192XA,5,6.0
S0193XA,1,6.0
S0194XA,5,6.0
S0195XA,1,6.0
S0195XA,5,6.0
S020XXA,2,1.0
S020XXB,3,1.0
S0210XA,3,1.0
S0210XB,4,1.0
S02110A,3,1.0
S02110B,4,1.0
S02111A,3,1.0
S02111B,4,1.0
S02112A,3,1.0
S02112B,4,1.0
S02113A,3,1.0
S02113B,4,1.0
S02118A,3,1.0
S02118B,4,1.0
S02119A,3,1.0
S02119B,4,1.0
S0219XA,3,1.0
S0219XB,4,1.0
S022XXA,1,2.0
S022XXB,2,2.0
S023XXA,2,2.0
S023XXB,3,2.0
S02400A,2,2.0
S02400B,2,2.0
S02401A,2,2.0
S02401B,2,2.0
S02402A,2,2.0
S02402B,2,2.0
S02411A,2,2.0
S02411B,2,2.0
S02412A,2,2.0
S02412B,2,2.0
S02413A,2,2.0
S02413B,2,2.0
S0242XA,2,2.0
S0242XB,3,2.0
S025XXA,1,2.0
S025XXB,1,2.0
S02600A,1,2.0
S02600B,2,2.0
S02609A,1,2.0
S02609B,2,2.0
S0261XA,2,2.0
S0261XB,2,2.0
S0262XA,2,2.0
S0262XB,2,2.0
S0263XA,1,2.0
S0263XB,2,2.0
S0264XA,1,2.0
S0264XB,2,2.0
S0265XA,1,2.0
S0265XB,2,2.0
S0266XA,1,2.0
S0266XB,2,2.0
S0267XA,1,2.0
S0267XB,2,2.0
S0269XA,1,2.0
S0269XB,2,2.0
S028XXA,2,2.0
S028XXB,3,2.0
S0291XA,2,1.0
S0291XB,2,1.0
S0292XA,2,2.0
S0292XB,3,2.0
S030XXA,2,2.0
S031XXA,3,5.0
S032XXA,1,2.0
S034XXA,1,2.0
S038XXA,1,1.0
S039XXA,1,5.0
S04011A,2,1.0
S04012A,2,1.0
S04019A,2,1.0
S0402XA,2,1.0
S04031A,2,1.0
S04032A,2,1.0
S04039A,2,1.0
S04041A,1,1.0
S04042A,1,1.0
S04049A,1,1.0
S0410XA,2,1.0
S0411XA,2,1.0
S0412XA,2,1.0
S0420XA,2,1.0
S0421XA,2,1.0
S0422XA,2,1.0
S0430XA,2,1.0
S0431XA,2,1.0
S0432XA,2,1.0
S0440XA,2,1.0
S0441XA,2,1.0
S0442XA,2,1.0
S0450XA,2,1.0
S0451XA,2,1.0
S0452XA,2,1.0
S0460XA,2,1.0
S0461XA,2,1.0
S0462XA,2,1.0
S0470XA,2,1.0
S0471XA,2,1.0
S0472XA,2,1.0
S04811A,2,1.0
S04812A,2,1.0
S04819A,2,1.0
S04891A,2,1.0
S04892A,2,1.0
S04899A,2,1.0
S049XXA,2,1.0
S0500XA,1,1.0
S0501XA,1,1.0
S0502XA,1,1.0
S0510XA,1,1.0
S0511XA,1,1.0
S0512XA,1,1.0
S0520XA,2,2.0
S0521XA,2,2.0
S0522XA,2,2.0
S0530XA,1,2.0
S0531XA,1,2.0
S0532XA,1,2.0
S0540XA,1,2.0
S0541XA,1,2.0
S0542XA,1,2.0
S0550XA,2,2.0
S0550XA,1,2.0
S0551XA,2,2.0
S0551XA,1,2.0
S0552XA,2,2.0
S0552XA,1,2.0
S0560XA,1,2.0
S0561XA,1,2.0
S0562XA,1,2.0
S0570XA,2,2.0
S0571XA,2,2.0
S0572XA,2,2.0
S058X1A,1,2.0
S058X2A,1,2.0
S058X9A,1,2.0
S0590XA,1,2.0
S0591XA,1,2.0
S0592XA,1,2.0
S060X0A,2,1.0
S060X1A,1,1.0
S060X2A,1,1.0
S060X3A,2,1.0
S060X4A,2,1.0
S060X5A,2,1.0
S060X6A,5,1.0
S060X7A,2,1.0
S060X8A,2,1.0
S060X9A,2,1.0
S061X0A,1,1.0
S061X1A,2,1.0
S061X2A,2,1.0
S061X3A,3,1.0
S061X4A,3,1.0
S061X5A,5,1.0
S061X6A,5,1.0
S061X7A,5,1.0
S061X8A,5,1.0
S061X9A,2,1.0
S062X0A,1,1.0
S062X1A,2,1.0
S062X2A,2,1.0
S062X3A,3,1.0
S062X4A,3,1.0
S062X5A,5,1.0
S062X6A,5,1.0
S062X7A,5,1.0
S062X8A,5,1.0
S062X9A,2,1.0
S06300A,1,1.0
S06301A,2,1.0
S06302A,2,1.0
S06303A,3,1.0
S06304A,3,1.0
S06305A,5,1.0
S06306A,5,1.0
S06307A,5,1.0
S06308A,5,1.0
S06309A,2,1.0
S06310A,3,1.0
S06311A,3,1.0
S06312A,3,1.0
S06313A,3,1.0
S06314A,3,1.0
S06315A,3,1.0
S06316A,3,1.0
S06317A,3,1.0
S06318A,3,1.0
S06319A,3,1.0
S06320A,3,1.0
S06321A,3,1.0
S06322A,3,1.0
S06323A,3,1.0
S06324A,3,1.0
S06325A,3,1.0
S06326A,3,1.0
S06327A,3,1.0
S06328A,3,1.0
