icdcm,TQIPbr,TQIPeffect,TQIPint,TQIPn,TQIPais,NISbr,NISeffect,NISint,NISn,NISais,TQIPais_mod,NISais_mod,TQIPbr_mod,NISbr_mod
S00.00XA,Head/Neck,0.21549913922141914,-4.202668814495247,693,2,Head/Neck,0.24571175466447484,-3.867465984199183,29,3,2,3,Head/Neck,Head/Neck
S00.01XA,Head/Neck,0.0547485064234831,-4.202668814495247,22233,1,Head/Neck,-0.0836704559999374,-3.867465984199183,1247,1,1,1,Head/Neck,Head/Neck
S00.02XA,Head/Neck,-0.6326257065748733,-4.202668814495247,9,1,Head/Neck,-0.4834437369694296,-3.867465984199183,3,1,1,1,Head/Neck,Head/Neck
S00.03CA,Head/Neck,-0.9735288328382059,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Head/Neck,Head/Neck
S00.03XA,Head/Neck,0.03346721383856912,-4.202668814495247,75391,1,Head/Neck,-0.018142876385189112,-3.867465984199183,7216,2,1,2,Head/Neck,Head/Neck
S00.04XA,Head/Neck,-1.1914843959661834,-4.202668814495247,3,1,NA,NA,NA,NA,NA,1,1,Head/Neck,Head/Neck
S00.05XA,Head/Neck,-0.9226532915940361,-4.202668814495247,54,1,Head/Neck,-0.5733110829810116,-3.867465984199183,9,1,1,1,Head/Neck,Head/Neck
S00.06XA,Head/Neck,-0.7904907600939031,-4.202668814495247,1,1,Head/Neck,-0.5004362098863705,-3.867465984199183,9,1,1,1,Head/Neck,Head/Neck
S00.07XA,Head/Neck,-0.5157035973562811,-4.202668814495247,8,1,NA,NA,NA,NA,NA,1,1,Head/Neck,Head/Neck
S00.10XA,Face,0.1273081808012344,-4.202668814495247,3299,1,Face,-0.08126717921082559,-3.867465984199183,121,1,1,1,Face,Face
S00.11XA,Face,0.16632275956751366,-4.202668814495247,14432,2,Face,-0.04856650782264003,-3.867465984199183,1134,2,2,2,Face,Face
S00.12XA,Face,0.09686330528768944,-4.202668814495247,15126,1,Face,-0.07348805333762877,-3.867465984199183,1187,1,1,1,Face,Face
S00.201A,Face,-0.724297440412641,-4.202668814495247,178,1,Face,-0.5309520468987817,-3.867465984199183,18,1,1,1,Face,Face
S00.202A,Face,0.1771039785319896,-4.202668814495247,231,2,Face,-0.4200686396118069,-3.867465984199183,7,1,2,1,Face,Face
S00.209A,Face,0.5074420588349645,-4.202668814495247,147,3,Face,-0.40664241853367566,-3.867465984199183,2,1,3,1,Face,Face
S00.211A,Face,-0.2572210448951855,-4.202668814495247,2119,1,Face,-0.19574577980779534,-3.867465984199183,297,1,1,1,Face,Face
S00.212A,Face,-0.0025124930157762373,-4.202668814495247,2239,1,Face,-0.35531197259570324,-3.867465984199183,306,1,1,1,Face,Face
S00.219A,Face,-0.35710060037659047,-4.202668814495247,340,1,Face,-0.4884936309640135,-3.867465984199183,25,1,1,1,Face,Face
S00.222A,Face,-0.8912731028942777,-4.202668814495247,1,1,Face,-0.5582048377421723,-3.867465984199183,1,1,1,1,Face,Face
S00.241A,Face,-0.6609593252288819,-4.202668814495247,1,1,NA,NA,NA,NA,NA,1,1,Face,Face
