dx,icd_10,issbr,hmp,hma,sev,icdn
S00.00XA,S00.00,Head/Neck,0.05172414,0.05172414,2,58
S00.01XA,S00.01,Head/Neck,0.066408768,0.066280566,3,1554
S00.02XA,S00.02,Head/Neck,0.25,0.25,5,4
S00.03XA,S00.03,Head/Neck,0.063285746,0.065657556,3,5087
S00.05XA,S00.05,Head/Neck,0,0,1,5
S00.07XA,S00.07,Head/Neck,0,0,1,2
S00.10XA,S00.10,Face,0.064393938,0.06501548,3,323
S00.11XA,S00.11,Face,0.067615658,0.076258995,3,695
S00.12XA,S00.12,Face,0.050209206,0.076398365,2,733
S00.201A,S00.201,Face,0,0,1,6
S00.202A,S00.202,Face,0,0.071428575,1,14
S00.209A,S00.209,Face,0,0.125,1,8
S00.211A,S00.211,Face,0.043478262,0.065040648,2,123
S00.212A,S00.212,Face,0.028169014,0.03539823,1,113
S00.219A,S00.219,Face,0.083333336,0.052631579,3,19
S00.251A,S00.251,Face,0,0,1,1
S00.271A,S00.271,Face,0,0,1,1
S00.272A,S00.272,Face,0,0,1,2
S00.30XA,S00.30,Face,0,0,1,9
S00.31XA,S00.31,Face,0.040322579,0.05050505,2,495
S00.33XA,S00.33,Face,0.028985508,0.026785715,1,112
S00.37XA,S00.37,Face,0,0,1,2
S00.401A,S00.401,Head/Neck,0.5,0.5,5,4
S00.402A,S00.402,Head/Neck,1,1,6,1
S00.409A,S00.409,Head/Neck,0,0,1,3
S00.411A,S00.411,Head/Neck,0.033333335,0.021739131,2,46
S00.412A,S00.412,Head/Neck,0,0.054054055,1,37
S00.419A,S00.419,Head/Neck,0.25,0.142857149,5,7
S00.431A,S00.431,Head/Neck,0.043478262,0.088235296,2,34
S00.432A,S00.432,Head/Neck,0,0.039215688,1,51
S00.439A,S00.439,Head/Neck,0,0,1,7
S00.501A,S00.501,Face,0,0,1,16
S00.502A,S00.502,Face,0,0,1,7
S00.511A,S00.511,Face,0.065040648,0.057291668,3,192
S00.512A,S00.512,Face,0,0,1,23
S00.521A,S00.521,Face,0,0,1,1
S00.531A,S00.531,Face,0.06666667,0.068376072,3,117
S00.532A,S00.532,Face,0.117647059,0.25,4,32
S00.571A,S00.571,Face,0,0,1,1
S00.572A,S00.572,Face,0,0,1,1
S00.80XA,S00.80,Head/Neck,0,0,1,49
S00.81XA,S00.81,Head/Neck,0.041685548,0.051854283,2,3047
S00.82XA,S00.82,Head/Neck,0,0,1,1
S00.83XA,S00.83,Head/Neck,0.04454343,0.054464616,2,2699
S00.85XA,S00.85,Head/Neck,0,0,1,1
S00.87XA,S00.87,Head/Neck,1,0.333333343,5,3
S00.90XA,S00.90,Head/Neck,0.041666668,0.03125,2,32
S00.91XA,S00.91,Head/Neck,0.044871796,0.059090909,2,220
S00.93XA,S00.93,Head/Neck,0.075999998,0.075301208,3,332
S01.00XA,S01.00,Head/Neck,0.072669826,0.077097505,3,882
S01.01XA,S01.01,Head/Neck,0.049400344,0.058654636,2,4876
S01.02XA,S01.02,Head/Neck,0.03809524,0.048275862,2,145
S01.03XA,S01.03,Head/Neck,0.047619049,0.041666668,2,24
S01.04XA,S01.04,Head/Neck,0.333333343,0.277777791,5,18
S01.05XA,S01.05,Head/Neck,0,0,1,16
S01.101A,S01.101,Face,0.13333334,0.079999998,4,25
S01.102A,S01.102,Face,0.083333336,0.045454547,3,22
S01.109A,S01.109,Face,0,0,1,4
S01.111A,S01.111,Face,0.023809524,0.028378379,1,740
S01.112A,S01.112,Face,0.025821596,0.026027398,1,730
S01.119A,S01.119,Face,0,0,1,94
S01.121A,S01.121,Face,0.055555556,0.068965517,2,29
S01.122A,S01.122,Face,0.052631579,0.029411765,2,34
S01.129A,S01.129,Face,0,0,1,6
S01.131A,S01.131,Face,0,0,1,8
S01.132A,S01.132,Face,0,0,1,5
S01.139A,S01.139,Face,1,1,6,1
S01.141A,S01.141,Face,0,0,1,1
S01.142A,S01.142,Face,0,0,1,1
S01.151A,S01.151,Face,0,0,1,11
S01.152A,S01.152,Face,0,0,1,8
S01.159A,S01.159,Face,0.017857144,0.079545453,2,88
S01.20XA,S01.20,Face,0.050000001,0.055555556,2,36
