"dx","severity","issbr"
"S0000",1,"Head/Neck"
"S0001",2,"Head/Neck"
"S0002",5,"Head/Neck"
"S0003",2,"Head/Neck"
"S0005",1,"Head/Neck"
"S0007",1,"Head/Neck"
"S0010",2,"Face"
"S0011",2,"Face"
"S0012",2,"Face"
"S00201",1,"Face"
"S00202",1,"Face"
"S00209",2,"Face"
"S00211",1,"Face"
"S00212",1,"Face"
"S00219",1,"Face"
"S00251",1,"Face"
"S00271",1,"Face"
"S00272",1,"Face"
"S0030",1,"Face"
"S0031",1,"Face"
"S0033",1,"Face"
"S0037",1,"Face"
"S00401",5,"Head/Neck"
"S00402",4,"Head/Neck"
"S00409",1,"Head/Neck"
"S00411",1,"Head/Neck"
"S00412",1,"Head/Neck"
"S00419",3,"Head/Neck"
"S00431",2,"Head/Neck"
"S00432",1,"Head/Neck"
"S00439",1,"Head/Neck"
"S00501",1,"Face"
"S00502",1,"Face"
"S00511",2,"Face"
"S00512",1,"Face"
"S00521",1,"Face"
"S00531",1,"Face"
"S00532",3,"Face"
"S00571",1,"Face"
"S00572",1,"Face"
"S0080",1,"Head/Neck"
"S0081",1,"Head/Neck"
"S0082",1,"Head/Neck"
"S0083",2,"Head/Neck"
"S0085",1,"Head/Neck"
"S0087",4,"Head/Neck"
"S0090",2,"Head/Neck"
"S0091",1,"Head/Neck"
"S0093",2,"Head/Neck"
"S0100",3,"Head/Neck"
"S0101",2,"Head/Neck"
"S0102",1,"Head/Neck"
"S0103",3,"Head/Neck"
"S0104",5,"Head/Neck"
"S0105",1,"Head/Neck"
"S01101",2,"Face"
"S01102",1,"Face"
"S01109",1,"Face"
"S01111",1,"Face"
"S01112",1,"Face"
"S01119",1,"Face"
"S01121",1,"Face"
"S01122",1,"Face"
"S01129",1,"Face"
"S01131",1,"Face"
"S01132",1,"Face"
"S01139",5,"Face"
"S01141",1,"Face"
"S01142",1,"Face"
"S01151",1,"Face"
"S01152",1,"Face"
"S01159",1,"Face"
"S0120",2,"Face"
"S0121",1,"Face"
"S0122",1,"Face"
"S0123",1,"Face"
"S0124",5,"Face"
"S0125",1,"Face"
"S01301",2,"Face"
"S01302",1,"Face"
"S01309",2,"Face"
"S01311",2,"Face"
"S01312",1,"Face"
"S01319",2,"Face"
"S01321",1,"Face"
"S01322",1,"Face"
"S01329",1,"Face"
"S01331",1,"Face"
"S01332",1,"Face"
"S01351",1,"Face"
"S01352",1,"Face"
"S01401",2,"Face"
"S01402",4,"Face"
"S01409",2,"Face"
"S01411",1,"Face"
"S01412",1,"Face"
"S01419",1,"Face"
"S01421",3,"Face"
"S01422",1,"Face"
"S01429",1,"Face"
"S01431",3,"Face"
"S01432",1,"Face"
"S01439",1,"Face"
"S01441",1,"Face"
"S01442",2,"Face"
"S01451",1,"Face"
"S01452",1,"Face"
"S01459",1,"Face"
"S01501",1,"Face"
"S01502",4,"Face"
"S01511",1,"Face"
"S01512",1,"Face"
"S01521",2,"Face"
"S01522",1,"Face"
"S01531",1,"Face"
"S01532",1,"Face"
"S01541",1,"Face"
"S01542",4,"Face"
"S01551",1,"Face"
"S01552",2,"Face"
"S0180",3,"Head/Neck"
"S0181",2,"Head/Neck"
"S0182",1,"Head/Neck"
"S0183",3,"Head/Neck"
"S0184",5,"Head/Neck"
"S0185",2,"Head/Neck"
"S0190",5,"Head/Neck"
"S0191",1,"Head/Neck"
"S0192",5,"Head/Neck"
"S0193",5,"Head/Neck"
"S0194",5,"Head/Neck"
"S0195",5,"Head/Neck"
"S020",2,"Head/Neck"
"S0210",2,"Head/Neck"
"S02110",2,"Head/Neck"
"S02111",1,"Head/Neck"
"S02112",2,"Head/Neck"
"S02113",2,"Head/Neck"
"S02118",2,"Head/Neck"
"S02119",3,"Head/Neck"
"S0219",2,"Head/Neck"
"S022",1,"Face"
"S023",1,"Face"
"S02400",1,"Face"
"S02401",1,"Face"
"S02402",1,"Face"
"S02411",1,"Face"
"S02412",1,"Face"
"S02413",2,"Face"
"S0242",1,"Face"
"S025",1,"Face"
"S02600",1,"Face"
"S02609",2,"Face"
"S0261",1,"Face"
"S0262",1,"Face"
"S0263",1,"Face"
"S0264",1,"Face"
"S0265",1,"Face"
"S0266",1,"Face"
"S0267",1,"Face"
"S0269",1,"Face"
"S028",1,"Head/Neck"
"S0291",3,"Head/Neck"
"S0292",2,"Face"
"S030",2,"Face"
"S031",1,"Face"
"S032",1,"Face"
"S034",2,"Face"
"S038",1,"Head/Neck"
"S04011",3,"Face"
"S04012",2,"Face"
"S04019",3,"Face"
"S04032",1,"Head/Neck"
"S0410",1,"Head/Neck"
"S0411",1,"Head/Neck"
"S0412",1,"Head/Neck"
"S0421",1,"Head/Neck"
"S0431",1,"Head/Neck"
